Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
raspberrypi,C8CD922A6F9B,Rbt 0x01,-36,0.0192133862262,193,0.0,26.16,72.25,14,0.0,1004.876,68.66,0.0,0.0,0.0,0.0,0.0,23,552,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,255,0.0,26.18,72.24,14,0.0,1004.877,65.63,0.0,0.0,0.0,0.0,0.0,23,552,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-34,0.0121622868802,116,0.0,26.79,70.3,17,0.0,1004.933,66.49,0.0,0.0,0.0,0.0,0.0,13,487,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,178,0.0,29.61,51.25,93,0.0,1005.155,61.84,77.97872375,25.5912077274,0.0,0.0,0.0,264,1620,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,108,0.0,26.32,71.92,14,0.0,1004.889,70.67,0.0,0.0,0.0,0.0,0.0,14,498,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,232,0.0,29.16,52.89,98,0.0,1005.143,74.77,77.62482676,25.4017239394,0.0,0.0,0.0,261,1616,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,224,0.0,25.87,73.8,14,0.0,1004.81,66.2,0.0,0.0,0.0,0.0,0.0,23,553,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,224,0.0,29.17,52.52,98,0.0,1005.048,64.3,77.58422316,25.3582074989,0.0,0.0,0.0,268,1625,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,93,0.0,29.06,52.95,98,0.0,1005.116,71.81,77.5001473,25.3159826865,0.0,0.0,0.0,261,1616,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,155,0.0,28.87,53.48,93,0.0,1005.108,58.53,77.32233924,25.212612616,0.0,0.0,0.0,265,1621,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,155,0.0,25.95,73.5,14,0.0,1004.855,59.93,0.0,0.0,0.0,0.0,0.0,23,552,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,23,0.0,28.87,53.99,95,0.0,1005.104,74.55,77.39517387,25.2850381926,0.0,0.0,0.0,264,1620,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,23,0.0,26.06,73.71,14,0.0,1004.848,69.74,0.0,0.0,0.0,0.0,0.0,22,548,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,147,0.0,29.14,52.64,89,0.0,1005.103,61.23,77.56178304,25.3470916464,0.0,0.0,0.0,275,1632,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-37,0.023922011752,209,0.0,25.83,73.47,12,0.0,1004.854,62.47,0.0,0.0,0.0,0.0,0.0,22,548,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,15,0.0,26.13,72.56,14,0.0,1004.791,63.27,0.0,0.0,0.0,0.0,0.0,24,564,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-48,0.191917158927,77,0.0,29.16,52.22,95,0.0,1005.039,70.88,77.52721848,25.3058513792,0.0,0.0,0.0,279,1637,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,78,0.0,29.16,52.24,95,0.0,1005.041,58.43,77.53013216,25.3087132466,0.0,0.0,0.0,279,1637,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,202,0.0,26.23,72.12,9,0.0,1004.828,64.33,0.0,0.0,0.0,0.0,0.0,43,688,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,132,0.0,29.33,51.59,84,0.0,1005.026,63.34,77.65996353,25.3756644444,0.0,0.0,0.0,273,1631,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,132,0.0,26.06,72.49,9,0.0,1004.774,62.5,0.0,0.0,0.0,0.0,0.0,30,597,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,194,0.0,29.25,51.78,84,0.0,1004.981,71.29,77.5821535,25.3275659526,0.0,0.0,0.0,295,1656,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-28,0.00257304959721,62,0.0,26.3,71.61,14,0.0,1004.724,62.69,0.0,0.0,0.0,0.0,0.0,19,529,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-35,0.0153365707231,124,0.0,26.16,72.31,12,0.0,1004.765,68.3,0.0,0.0,0.0,0.0,0.0,27,580,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,124,0.0,29.47,51.52,93,0.0,1005.019,76.27,77.83445456,25.4977521897,0.0,0.0,0.0,263,1619,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,186,0.0,29.45,51.25,98,0.0,1005.001,73.56,77.76794375,25.4399118126,0.0,0.0,0.0,253,1607,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,55,0.0,29.22,51.99,98,0.0,1004.919,59.9,77.57319322,25.3294194227,0.0,0.0,0.0,272,1629,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,54,0.0,26.15,72.2,14,0.0,1004.662,61.9,0.0,0.0,0.0,0.0,0.0,24,564,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,117,0.0,29.0,52.51,98,0.0,1004.88,60.66,77.356691,25.1967922322,0.0,0.0,0.0,268,1625,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,241,0.0,29.25,51.97,98,0.0,1004.804,65.51,77.61000275,25.3548188269,0.0,0.0,0.0,268,1625,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,47,0.0,29.43,51.92,91,0.0,1004.769,61.3,77.84099544,25.5176057632,0.0,0.0,0.0,243,1598,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,171,0.0,29.37,51.76,89,0.0,1004.756,58.75,77.73791288,25.4378531179,0.0,0.0,0.0,239,1594,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,39,0.0,29.19,52.23,87,0.0,1004.721,58.96,77.56848763,25.3355399618,0.0,0.0,0.0,264,1620,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,39,0.0,26.07,72.78,9,0.0,1004.483,61.91,0.0,0.0,0.0,0.0,0.0,21,539,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-26,0.0014222328012,40,0.0,29.19,52.24,87,0.0,1004.723,59.89,77.56994744,25.3369720346,0.0,0.0,0.0,264,1620,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-34,0.0121622868802,164,0.0,29.39,51.72,95,0.0,1004.702,63.77,77.75844292,25.4509828395,0.0,0.0,0.0,242,1597,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-37,0.023922011752,164,0.0,26.48,71.4,14,0.0,1004.445,63.46,0.0,0.0,0.0,0.0,0.0,17,515,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,94,0.0,29.24,51.91,102,0.0,1004.771,61.4,77.58796916,25.3367909032,0.0,0.0,0.0,239,1594,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-35,0.0153365707231,218,0.0,26.39,71.26,14,0.0,1004.481,69.2,0.0,0.0,0.0,0.0,0.0,15,501,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-34,0.0121622868802,24,0.0,26.1,72.07,14,0.0,1004.403,60.82,0.0,0.0,0.0,0.0,0.0,21,542,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,24,0.0,29.26,51.68,100,0.0,1004.665,59.66,77.58071232,25.322637382,0.0,0.0,0.0,242,1597,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-36,0.0192133862262,210,0.0,26.76,69.81,14,0.0,1004.44,67.88,0.0,0.0,0.0,0.0,0.0,12,483,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-36,0.0192133862262,211,0.0,26.75,69.84,14,0.0,1004.436,65.19,0.0,0.0,0.0,0.0,0.0,11,478,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-34,0.0121622868802,211,0.0,29.46,51.14,98,0.0,1004.688,77.41,77.76476556,25.4334847044,0.0,0.0,0.0,237,1591,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-51,0.311706110239,17,0.0,29.43,51.17,95,0.0,1004.626,60.77,77.72972769,25.4095070294,0.0,0.0,0.0,247,1602,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-34,0.0121622868802,141,0.0,29.35,51.13,95,0.0,1004.677,62.53,77.61849845,25.3283656006,0.0,0.0,0.0,243,1598,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-36,0.0192133862262,141,0.0,26.37,70.8,14,0.0,1004.431,61.13,0.0,0.0,0.0,0.0,0.0,16,506,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,203,0.0,29.21,51.53,95,0.0,1004.663,59.91,77.49270387,25.2540905469,0.0,0.0,0.0,257,1612,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,71,0.0,25.77,73.02,14,0.0,1004.42,61.74,0.0,0.0,0.0,0.0,0.0,20,533,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,71,0.0,29.07,52.01,95,0.0,1004.654,61.48,77.37738393,25.1912171838,0.0,0.0,0.0,254,1608,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,133,0.0,28.86,52.38,95,0.0,1004.633,59.52,77.15195932,25.0470407845,0.0,0.0,0.0,254,1608,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,2,0.0,29.11,51.86,95,0.0,1004.587,64.47,77.40860154,25.2073537468,0.0,0.0,0.0,254,1608,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,126,0.0,29.13,51.94,93,0.0,1004.608,80.21,77.44670078,25.2375794724,0.0,0.0,0.0,268,1625,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,126,0.0,26.2,71.75,14,0.0,1004.355,80.7,0.0,0.0,0.0,0.0,0.0,23,555,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,188,0.0,26.32,71.31,14,0.0,1004.342,75.17,0.0,0.0,0.0,0.0,0.0,15,501,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,180,0.0,29.13,52.27,84,0.0,1004.523,68.7,77.49467849,25.2847628167,0.0,0.0,0.0,264,1620,0.0,0.0,0.0,0
